Atomic Number;Symbol;Group;Old Group;Period;English;German;French;Spanish;Italian;Atomic Mass;Atomic Mass (IUPAC 2005);Melting Point, °C;Boiling Point, °C;State at Room Temperature;Density (g/mL);Electronegativity (Pauling);1st ionization potential (eV) ;2nd ionization potential (eV) ;3rd ionization potential (eV) ;1st ionization potential (kJ/mol) ;2nd ionization potential (kJ/mol) ;3rd ionization potential (kJ/mol) ;Predicted Electron Configuration;Observed Electron Configuration;Atomic Radius (pm);Atomic Volume (cm^3/mol);Crystal Structure;CAS Registry Number;Electrical Conductivity (mho/cm) ;Specific Heat (J/g K) ;Heat of Fusion (kJ/mol) ;Heat of Vaporization (kJ/mol) ;Thermal Conductivity (W/(m K)) ;mg/kg in Earth's crust;mg/L in seawater;% human body mass;Source;Color;Uses;Year Discovered
1;H;1;I A;1;hydrogen;Wasserstoff;hydrog?ne;hidrógeno;idrogeno;1.008;1.00794;-259.1;-252.9;g;0.0000699;2.2;13.5984;N/A;N/A;1312;N/A;N/A;1s1;1s1;37.1;14.4;hexagonal;1333-74-0;N/A;14.304;0.05868;0.44936;0.1815;1400;108000;10;Water, methane;colorless;rocket fuel;1766
2;He;18;VIII A;1;helium;Helium;hélium;helio;elio;4.003;4.0026;-272.2;-268.9;g;0.000179;N/A;24.5874;54.416;N/A;2372;5250;N/A;1s2;1s2;31;19.5;hexagonal;7440-59-7;N/A;5.193;N/A;0.0845;0.152;0.008;7.00E-16;N/A;Natural gas, air;colorless;cryogenics, blimps;1895
3;Li;1;I A;2;lithium;Lithium;lithium;litio;litio;6.941;6.941;180.5;1342;s;0.543;0.98;5.3917;76.638;122.451;520;7394;11815;[He] 2s1;[He] 2s1;152;13.1;cubic: body centered;7439-93-2;0.108;3.6;3;145.92;84.7;20;0.18;N/A;Spodumene (silicate);silvery;batteries, lubricant;1817
4;Be;2;II A;2;beryllium;Beryllium;béryllium;berilio;berillio;9.012;9.01218;1278;2970;s;1.85;1.57;9.3226;18.211;153.893;899;1757;14848;[He] 2s2;[He] 2s2;112;5;hexagonal;7440-41-7;0.313;1.82;12.2;292.4;200;2.8;0.0000056;N/A;Beryl (silicate);steel gray;Cu alloys, X-ray windows;1797
5;B;13;III A;2;boron;Bor;bore;boro;boro;10.81;10.811;2079;2550;s;2.34;2.04;8.298;25.154;37.93;801;2427;3660;[He] 2s2 2p1;[He] 2s2 2p1;85;4.6;rhombohedral;7440-42-8;1.00E-12;1.02;50.2;489.7;27;10;4.44;0.00007;Na and Ca borates (misc);black;borax, glass making(B2O3);1808
6;C;14;IV A;2;carbon;Kohlenlstoff;carbone;carbono;carbonio;12.01;12.0107;3367;4827;s;2.25;2.55;11.2603;24.383;47.887;1086;2353;4620;[He] 2s2 2p2;[He] 2s2 2p2;77.2;4.58;hexagonal;7440-44-0;0.00061;0.71;N/A;355.8;129;200;28;23;Coal,Petroleum,Natural gas;black;fuel(coal), lubricant;N/A
7;N;15;V A;2;nitrogen;Stickstoff;azote;nitrógeno;azoto;14.01;14.0067;-209.9;-195.8;g;0.00125;3.04;14.5341;29.601;47.448;1402;2856;4578;[He] 2s2 2p3;[He] 2s2 2p3;70;17.3;hexagonal;77727-37-9;N/A;1.04;0.3604;2.7928;0.02598;19;50;2.6;Air;colorless;fertilizer, cryogenics;1772
8;O;16;VI A;2;oxygen;Sauerstoff;oxyg?ne;oxígeno;ossigeno;16;15.9994;-218.4;-183;g;0.00143;3.44;13.6181;35.117;54.934;1314;3388;5300;[He] 2s2 2p4;[He] 2s2 2p4;73;14;cubic;7782-44-7;N/A;0.92;0.22259;3.4099;0.02674;461000;857000;61;Air;colorless;rocket fuel, steel mfr.;1774
9;F;17;VII A;2;fluorine;Fluor;fluor;flúor;fluoro;19;18.9984;-219.8;-188.1;g;0.0017;3.98;17.4228;34.97;62.707;1681;3374;6050;[He] 2s2 2p5;[He] 2s2 2p5;72;12.6;cubic;7782-41-4;N/A;0.82;0.2552;3.2698;0.0279;585;1.3;0.0033;Fluorite (misc);colorless;fluorocarbons, toothpaste;1886
10;Ne;18;VIII A;2;neon;Neon;néon;neón;neon;20.18;20.1797;-248;-248.7;g;0.0009;N/A;21.5645;40.962;63.45;2081;3952;6122;[He] 2s2 2p6;[He] 2s2 2p6;71;17.3;cubic: face centered;09.01.7440;N/A;0.904;0.3317;1.7326;0.0493;0.005;0.00012;N/A;Air;colorless;Neon signs;1898
